url,checked,street,city,state,zip_code,price,beds,baths,sqft,home_type,neighborhood,walk_score,transit_score,bike_score,sold_history
https://www.redfin.com/GA/Atlanta/1448-Hillpine-Ln-NE-30306/home/24848044,1,1448 Hillpine Ln ,"Atlanta<!-- -->, ",GA,30306,"484,900",2,2.5,"1,628",Condo/Co-op,  Transportation in <!-- -->Morningside-Lenox Park,56,26,46,"$449,900<span class=""number positive empty""> (8.1%/yr)</span>:Jun 14, 2017;$449,900<span class=""number empty""> </span>:Jun 8, 2017;$400,000<span class=""number positive empty""> (2.0%/yr)</span>:Dec 8, 2015;$400,000<span class=""number empty""> </span>:Dec 2, 2015;$346,000<span class=""number positive empty""> (15.2%/yr)</span>:Aug 1, 2008;$265,000<span class=""number positive empty""> (0.5%/yr)</span>:Sep 12, 2006;$255,000<span class=""number positive empty""> (11.7%/yr)</span>:Jul 23, 1999;$145,000<span class=""number positive empty""> (5.2%/yr)</span>:Jun 17, 1994;$131,000<span class=""number negative empty""> (−1.0%/yr)</span>:Jun 19, 1992;$134,500<span class=""number positive empty""> (3.8%/yr)</span>:Sep 22, 1989;$119,100<span class=""number negative empty""> (0.0%/yr)</span>:Jul 1, 1986;$119,100<span class=""number empty""> </span>:Jun 27, 1986"
https://www.redfin.com/GA/Atlanta/400-W-Peachtree-St-NW-30308/unit-2810/home/24746470,1,400 W Peachtree St NW #2810 ,"Atlanta<!-- -->, ",GA,30308,"249,900",1,1,730,Condo/Co-op,  Transportation in <!-- -->Centennial Hill,87,78,72,
https://www.redfin.com/GA/Atlanta/878-Peachtree-St-NE-30309/unit-627/home/24811069,1,878 Peachtree St NE #627 ,"Atlanta<!-- -->, ",GA,30309,"295,000",1,1,908,Condo/Co-op,  Transportation in <!-- -->Midtown,91,64,74,"$257,500<span class=""number empty""> </span>:Jul 10, 2018;$257,500<span class=""number empty""> </span>:Jul 9, 2018;$257,500<span class=""number empty""> </span>:Jul 9, 2018;$62,000<span class=""number empty""> </span>:Jun 22, 2012"
https://www.redfin.com/GA/Atlanta/145-15th-St-NE-30309/unit-633/home/24748985,1,145 15th St NE #633 ,"Atlanta<!-- -->, ",GA,30309,"459,000",3,2.5,"1,780",Condo/Co-op,  Transportation in <!-- -->Midtown,86,61,74,"$420,000<span class=""number positive empty""> (3.2%/yr)</span>:Oct 20, 2017;$420,000<span class=""number empty""> </span>:Oct 13, 2017;$420,000<span class=""number empty""> </span>:Oct 13, 2017;$255,000<span class=""number empty""> </span>:Mar 14, 2002"
https://www.redfin.com/GA/Atlanta/48-Walthall-St-NE-30307/unit-A/home/172718113,1,48 Walthall St NE Unit A ,"Atlanta<!-- -->, ",GA,30307,"699,000",4,3,"2,314",Townhouse,  Transportation in <!-- -->Reynoldstown,81,61,78,
https://www.redfin.com/GA/Atlanta/Pratt-Stacks/The-Abernathy/home/172263576,1,The Abernathy ,"Atlanta<!-- -->, ",GA,30315,"447,900+",2,2,"1,493",MultiFamily,  Transportation in <!-- -->Grant Park,34,40,41,
https://www.redfin.com/GA/Atlanta/335-Home-Park-Ave-NW-30318/home/24726430,1,335 Home Park Ave NW ,"Atlanta<!-- -->, ",GA,30318,"299,000",<span>—</span>,<span>—</span>,<span>—</span>,Vacant Land,  Transportation in <!-- -->Home Park,71,55,74,
https://www.redfin.com/GA/Atlanta/368-Ponce-De-Leon-Ave-NE-30308/home/24709799,1,368 Ponce De Leon Ave NE ,"Atlanta<!-- -->, ",GA,30308,"4,000,000",8,5,"7,361",Other,  Transportation in <!-- -->Midtown,90,55,87,"$293,500<span class=""number negative empty""> (−8.4%/yr)</span>:Apr 9, 1998;$800,000<span class=""number empty""> </span>:Nov 7, 1986"
https://www.redfin.com/GA/Atlanta/709-Channing-Dr-NW-30318/home/24768567,1,709 Channing Dr NW ,"Atlanta<!-- -->, ",GA,30318,"565,000",2,2,"1,614",Single Family Residential,  Transportation in <!-- -->Channing Valley,71,34,33,"$430,000<span class=""number positive empty""> (1.9%/yr)</span>:Oct 25, 2017;$430,000<span class=""number empty""> </span>:Oct 20, 2017;$430,000<span class=""number empty""> </span>:Oct 20, 2017;$325,000<span class=""number positive empty""> (8.3%/yr)</span>:Apr 2, 2003;$166,500<span class=""number positive empty""> (1.2%/yr)</span>:Nov 9, 1994;$155,000<span class=""number positive empty""> (11.4%/yr)</span>:Oct 5, 1988;$81,000<span class=""number empty""> </span>:Sep 24, 1982"
https://www.redfin.com/GA/Atlanta/509-Parkway-Dr-NE-30308/home/24764579,1,509 Parkway Dr ,"Atlanta<!-- -->, ",GA,30308,"769,000",3,2.5,<span>—</span>,Single Family Residential,  Transportation in <!-- -->Old Fourth Ward,70,51,92,"$565,000<span class=""number positive empty""> (71.4%/yr)</span>:Apr 25, 2017;$565,000<span class=""number empty""> </span>:Apr 21, 2017;$565,000<span class=""number empty""> </span>:Apr 21, 2017;$160,000<span class=""number negative empty""> (−3.5%/yr)</span>:Dec 22, 2014;$74,700<span class=""number empty""> </span>:Apr 21, 2011;$250,000<span class=""number empty""> </span>:Jun 12, 2002"
